Question	Answer
What is actinic keratoses?	A rough, scaly patch on the skin caused by years of sun exposure
what are the symptoms of actinic keratoses?	Rough, dry or scaly patch of skin,Flat to slightly raised patch or bump on the top layer of skin,a hard, wartlike surface,Color variations, including pink, red or brown,Itching, burning,New patches or bumps on sun-exposed areas of the head, neck, hands and forearms,bleeding or crusting less than 1 inch (2.5 centimeters) in diameter
which areas does actinic keratoses appear?	head, neck, hands and forearms
what colour is actinic keratoses?	pink, red or brown
what are the remedies for actinic keratoses?	Limit your time in the sun. Especially avoid time in the sun between 10 a.m. and 2 p.m. And avoid staying in the sun so long that you get a sunburn or a suntan.Use sunscreen. Before spending time outdoors, even on cloud days, apply a broad-spectrum water-resistant sunscreen with a sun protection factor (SPF) of at least 30, as the American Academy of Dermatology recommends.
Use sunscreen on all exposed skin, and use lip balm with sunscreen on your lips. Apply sunscreen at least 15 minutes before going outside and reapply it every two hours or more often if you're swimming or perspiring.
Cover up.For extra protection from the sun, wear tightly woven clothing that covers your arms and legs. Also wear a broad-brimmed hat, which provides more protection than does a baseball cap or golf visor.Avoid tanning beds. The UV exposure from a tanning bed can cause just as much skin damage as a tan acquired from the sun.
Check your skin regularly and report changes to your doctor. Examine your skin regularly, looking for the development of new skin growths or changes in existing moles, freckles, bumps and birthmarks. With the help of mirrors, check your face, neck, ears and scalp. Examine the tops and undersides of your arms and hands.
what are the preventive measures of actinic keratoses?	Limit your time in the sun. Especially avoid time in the sun between 10 a.m. and 2 p.m. And avoid staying in the sun so long that you get a sunburn or a suntan.Use sunscreen. Before spending time outdoors, even on cloud days, apply a broad-spectrum water-resistant sunscreen with a sun protection factor (SPF) of at least 30, as the American Academy of Dermatology recommends.
Use sunscreen on all exposed skin, and use lip balm with sunscreen on your lips. Apply sunscreen at least 15 minutes before going outside and reapply it every two hours or more often if you're swimming or perspiring.
Cover up.For extra protection from the sun, wear tightly woven clothing that covers your arms and legs. Also wear a broad-brimmed hat, which provides more protection than does a baseball cap or golf visor.Avoid tanning beds. The UV exposure from a tanning bed can cause just as much skin damage as a tan acquired from the sun.
Check your skin regularly and report changes to your doctor. Examine your skin regularly, looking for the development of new skin growths or changes in existing moles, freckles, bumps and birthmarks. With the help of mirrors, check your face, neck, ears and scalp. Examine the tops and undersides of your arms and hands.
when to consult a doctor in case of actinic keratoses?	if a scaly spot or patch persists, grows or bleeds
Does itching happens in actinic keratoses?	yes
What is basal cell carcinoma?	Basal cell carcinoma is a type of skin cancer. Basal cell carcinoma begins in the basal cells — a type of cell within the skin that produces new skin cells as old ones die off
what are the symptoms of basal cell carcinoma?	Appearance-A pearly white, skin-colored or pink bump that is translucent,Skin growth in a dome shape that has blood vessels in it,Colour-A brown, black,pink or blue lesion,Location-develops on sun-exposed parts of your body, especially your head and neck	Waxy, hard skin growth,Fragile and can bleed easily.
which areas does basal cell carcinoma appear?	develops on sun-exposed parts of your body, especially your head and neck
what colour is basal cell carcinoma?	A brown, black,pink or blue lesion
what are the remedies for basal cell carcinoma?	Avoid the sun during the middle of the day.Wear sunscreen year-round,Wear protective clothing,Avoid tanning beds,Check your skin regularly and report changes to your doctor
what are the preventive measures of basal cell carcinoma?	Avoid the sun during the middle of the day.Wear sunscreen year-round,Wear protective clothing,Avoid tanning beds,Check your skin regularly and report changes to your doctor
when to consult a doctor in case of basal cell carcinoma?	if you observe changes in the appearance of your skin, such as a new growth, a change in a previous growth or a recurring sore.
Does itching happens in basal cell carcinoma?	No
What is benign keratosis?	A non-cancerous skin condition that appears as a waxy brown, black or tan growth.
what are the symptoms of benign keratosis?	Common in older adults,Colour-Most are brown, but they can be yellow, black, or white.Location-often appear on the back or chest, but can occur on any part of the body.Grows slowly, in groups or singly.Is round or oval shaped,Ranges in size from very small to more than 1 inch (2.5 centimeters) across,May itch,Can be genetic
which areas does benign keratosis appear?	often appear on the back or chest,but can occur on any part of the body
what colour is benign keratosis?	Most are brown, but they can be yellow, black, or white
what are the remedies for benign keratosis?	Avoid the sun during the middle of the day.Wear sunscreen year-round,Check your skin regularly and report changes to your doctor,Cryosurgery
what are the preventive measures of benign keratosis?	Avoid the sun during the middle of the day.Wear sunscreen year-round,Check your skin regularly and report changes to your doctor,Cryosurgery
when to consult a doctor in case of benign keratosis?	if a large number of growths grow in a short space of time,growths or sores develop and do not heal,the borders around the growths are irregular or blurred
Does itching happens in benign keratosis?	May itch
What is dermatofibroma?	Dermatofibroma is a commonly occurring cutaneous entity usually centered within the skin's dermis
what are the symptoms of dermatofibroma?	Appearance a round bump that is mostly under the skin.Size the normal range is about the size of the tip of a ballpoint pen to a pea, and it usually remains stable.Color may be pink, red, gray, light brown or purple.
Location most commonly found on the legs, but sometimes on the arms, trunk, and less common elsewhere on the body,usually harmless and painless, but occasionally may be itchy, tender, painful, or feel inflamed.When pinched, a dermatofibroma will not push towards the surface of the skin. Instead, it will dimple inward on itself.
which areas does dermatofibroma appear?	most commonly found on the legs, but sometimes on the arms, trunk
What is the texture of dermatofibroma?	round bump that is mostly under the skin
what colour is dermatofibroma?	Color may be pink, red, gray, light brown or purple
what are the remedies for dermatofibroma?	localized corticosteroid injection.shaving the top to flatten the growth.freezing (with liquid nitrogen),laser therapy.
what are the preventive measures of dermatofibroma?	localized corticosteroid injection.shaving the top to flatten the growth.freezing (with liquid nitrogen),laser therapy.
when to consult a doctor in case of dermatofibroma?	if it is changing size, shape, or color and follows an irregular pattern. Any growth that bleeds, becomes painful, itches or grows rapidly should also be reported, as soon as possible.
Does itching happens in dermatofibroma?	May be itchy
What is melanoma?	Melanoma, the most serious type of skin cancer, develops in the cells (?melanocytes) that produce melanin — the pigment that gives your skin its color.
what are the symptoms of melanoma?	Spread of pigment from the border of a spot into surrounding skin,itchiness, tenderness, or pain,oozing, bleeding,hard or lumpy	moles with two very different-looking halves	more than 50 ordinary moles on your body
which areas does melanoma appear?	Melanomas can develop anywhere on your body. They most often develop in areas that have had exposure to the sun, such as your back, legs, arms and face
what colour is melanoma?	different shades of brown, tan or black
what are the remedies for melanoma?	Avoid the sun during the middle of the day, Avoid tanning lamps and beds, Become familiar with your skin so that you'll notice changes
what are the preventive measures of melanoma?	Avoid the sun during the middle of the day, Avoid tanning lamps and beds, Become familiar with your skin so that you'll notice changes
when to consult a doctor in case of melanoma?	Make an appointment with your doctor if you notice any unusual skin changes
Does itching happens in melanoma?	Yes
What is melanocytic nevi?	A usually non-cancerous disorder of pigment-producing skin cells commonly called birth marks or moles.
what are the symptoms of melanocytic nevi?	brown, tan, pink or black spots on the skin,bumpy texture,3 mm circular,dark, coarse hair,Itchy,size increased with age,larger than a pencil eraser,30 and 40 moles,bleeding
which areas does melanocytic nevi appear?	scalp, neck, upper arms and legs, and neck	
What is the texture of melanocytic nevi?	bumpy texture,3 mm circular,dark
what colour is melanocytic nevi?	brown, tan, pink or black spots on the skin
what are the remedies for melanocytic nevi?	Wear a hat, long sleeves and a long skirt or trousers,Apply sunscreen to areas you can't cover when outdoors,shave/excision biopsy or cryosurgery,Laser surgery
what are the preventive measures of melanocytic nevi?	Wear a hat, long sleeves and a long skirt or trousers,Apply sunscreen to areas you can't cover when outdoors,shave/excision biopsy or cryosurgery,Laser surgery
when to consult a doctor in case of melanocytic nevi?	Make an appointment with your doctor if you notice any unusual skin changes
Does itching happens in melanocytic nevi?	Itchy
What is vascular lesions?	Vascular lesions are relatively common abnormalities of the skin and underlying tissues, more commonly known as birthmarks
what are the symptoms of vascular lesions?	appear as groups of small clear vesicles (blister like clusters),When found at the skin or mucosal level (often in the mouth) they can cause problems with weeping and pain,appear as deeper-seated, softer compressible masses often in the neck or axilla with overlying bluish skin discoloration,lesions can also infiltrate the deeper soft tissues causing firm masses	conditions of the skin characterized by overgrowth or enlargement of blood vessels	
What is the texture of vascular lesions?	appear as groups of small clear vesicles (blister like clusters)
what colour is vascular lesions?	 lesions appear at birth as flat pink areas of skin discoloration and usually darken over time to become a deep purple color
what are the remedies for vascular lesions?	Laser treatment is usually the best option for vascular lesions of the face.Cold compresses can help with redness and swelling,On the legs, injection of a medication to destroy the blood vessel (sclerotherapy) can be a better option for spider veins,Avoid having tanned skin â€“ Avoid sun in the middle of the day, use sunscreen with a high SPF, and wear sun-protective clothing (eg, a hat and tightly woven clothing).Avoid medications and supplements that make bruising more likely (only if stopping any of the below medications has been discussed with your doctor)
what are the preventive measures of vascular lesions?	Laser treatment is usually the best option for vascular lesions of the face.Cold compresses can help with redness and swelling,On the legs, injection of a medication to destroy the blood vessel (sclerotherapy) can be a better option for spider veins,Avoid having tanned skin â€“ Avoid sun in the middle of the day, use sunscreen with a high SPF, and wear sun-protective clothing (eg, a hat and tightly woven clothing).Avoid medications and supplements that make bruising more likely (only if stopping any of the below medications has been discussed with your doctor)
when to consult a doctor in case of vascular lesions?	When used by well-trained laser surgeons, unanticipated risks such as blistering, discoloration, or scarring are very low. Expected side effects include redness and sometimes bruising lasting for a few days. Avoiding blood-thinning agents, such as those listed above, can reduce the risk of bruising
Does itching happens in vascular lesions?	No